x,y,z
-119.885602,171.979548,1.642763
-120.187802,171.963202,1.642726
-120.490108,171.949260,1.642697
-120.792430,171.937569,1.642676
-121.094663,171.927995,1.642659
-121.396701,171.920354,1.642631
-121.698384,171.914276,1.642589
-121.999520,171.909269,1.642541
-122.299968,171.904906,1.642499
-122.599657,171.900833,1.642466
-122.898510,171.896781,1.642446
-123.196462,171.892588,1.642437
-123.493447,171.888133,1.642441
-123.789536,171.883332,1.642458
-124.084955,171.878234,1.642483
-124.379909,171.872985,1.642515
-124.674538,171.867738,1.642552
-124.969014,171.862650,1.642595
-125.263527,171.857908,1.642640
-125.558201,171.853692,1.642685
-125.853131,171.850162,1.642729
-126.148352,171.847509,1.642738
-126.443664,171.846095,1.642673
-126.738773,171.846380,1.642559
-127.033381,171.848581,1.642391
-127.326990,171.852652,1.642194
-127.619011,171.858484,1.641954
-127.908991,171.866007,1.641677
-128.197004,171.875464,1.641291
-128.483612,171.887436,1.640898
-128.769267,171.902548,1.640605
-129.054242,171.921421,1.640417
-129.338833,171.944726,1.640332
-129.623234,171.973051,1.640344
-129.907501,172.006715,1.640429
-130.191679,172.045859,1.640559
-130.475776,172.090601,1.640703
-130.759703,172.140991,1.640842
-131.043314,172.197013,1.640971
-131.326485,172.258649,1.641074
-131.609056,172.325827,1.641143
-131.890860,172.398412,1.641174
-132.171739,172.476248,1.641173
-132.451591,172.559163,1.641134
-132.730360,172.646924,1.641054
-133.008007,172.739216,1.640930
-133.284495,172.835645,1.640764
-133.559819,172.935769,1.640569
-133.834029,173.039143,1.640352
-134.107184,173.145294,1.640127
-134.379548,173.253715,1.639911
-134.651606,173.363907,1.639716
-134.923801,173.475366,1.639553
-135.196506,173.587585,1.639442
-135.470192,173.700138,1.639393
-135.745373,173.812692,1.639400
-136.022413,173.924968,1.639450
-136.301483,174.036726,1.639499
